Date,Close
2018-08-09,110.86
2018-08-08,111.45
2018-08-07,111.32
2018-08-06,111.27
2018-08-03,111.81
2018-08-02,111.73
2018-08-01,111.87
2018-07-31,111.31
2018-07-30,111.29
2018-07-27,112.61
2018-07-26,112.76
2018-07-25,112.99
2018-07-24,112.46
2018-07-23,112.71
2018-07-20,112.2
2018-07-19,111.06
2018-07-18,110.5
2018-07-17,110.73
2018-07-13,110.54
2018-07-12,110.35
2018-07-11,110.94
2018-07-10,110.88
2018-07-09,111.01
2018-07-06,111.1
2018-07-05,111.18
2018-07-04,110.72
2018-07-03,110.95
2018-07-02,110.93
2018-06-29,110.08
2018-06-28,110.43
2018-06-27,110.03
2018-06-26,110.15
2018-06-25,110.55
2018-06-22,110.67
2018-06-21,110.33
2018-06-20,110.52
2018-06-19,110.32
2018-06-18,109.44
2018-06-15,109.87
2018-06-14,110.16
2018-06-13,109.83
2018-06-12,109.9
2018-06-11,109.7
2018-06-08,110.54
2018-06-07,110.01
2018-06-06,109.91
2018-06-05,109.56
2018-06-04,109.69
2018-06-01,108.94
2018-05-31,109.54
2018-05-30,109.58
2018-05-29,109.71
2018-05-28,110.88
2018-05-25,110.98
2018-05-24,111.09
2018-05-23,110.95
2018-05-22,110.36
2018-05-21,110.34
2018-05-18,109.33
2018-05-17,109.47
2018-05-16,109.96
2018-05-15,109.32
2018-05-14,108.93
2018-05-11,108.98
2018-05-10,109.9
2018-05-09,108.71
2018-05-08,108.41
2018-05-07,109.21
2018-05-02,109.74
2018-05-01,109.36
2018-04-27,107.53
2018-04-26,107.49
2018-04-25,107.21
2018-04-24,107.11
2018-04-23,107.51
2018-04-20,107.41
2018-04-19,107.1
2018-04-18,106.76
2018-04-17,106.89
2018-04-16,107.22
2018-04-13,106.86
2018-04-12,106.52
2018-04-11,105.85
2018-04-10,106.32
2018-04-09,109.35
2018-04-06,109.37
2018-04-05,108.89
2018-04-04,108.77
2018-04-03,107.82
2018-04-02,106.91
2018-03-30,104.94
2018-03-29,105.66
2018-03-28,106.14
2018-03-27,105.96
2018-03-26,106.33
2018-03-23,106.04
2018-03-22,106.7
2018-03-20,106.37
2018-03-19,106.74
2018-03-16,106.14
2018-03-15,105.64
2018-03-14,106.28
2018-03-13,105.56
2018-03-12,106.28
2018-03-09,106.27
2018-03-08,106.84
2018-03-07,105.51
2018-03-06,105.65
2018-03-05,104.96
2018-03-02,106.97
2018-03-01,106.75
2018-02-28,107.53
2018-02-27,106.8
2018-02-26,106.31
2018-02-23,106.29
2018-02-22,106.82
2018-02-21,107.86
2018-02-20,108.69
2018-02-19,109.43
2018-02-16,109.44
2018-02-15,109.08
2018-02-14,109.9
2018-02-13,109.46
2018-02-09,107.38
2018-02-08,106.81
2018-02-07,106.98
2018-02-06,107.01
2018-02-05,107.54
2018-02-02,108.88
2018-02-01,109.22
2018-01-31,109.79
2018-01-30,109.51
2018-01-29,110.26
2018-01-26,110.98
2018-01-25,110.77
2018-01-24,111.11
2018-01-23,111.28
2018-01-22,110.37
2018-01-19,110.86
2018-01-18,110.91
2018-01-17,111.23
2018-01-16,111.52
2018-01-15,112.45
2018-01-12,113.15
2018-01-11,112.84
2018-01-10,112.75
2018-01-09,108.86
2018-01-05,109.02
2018-01-04,108.72
