Date,Close
2018-08-09,111.56
2018-08-08,111.94
2018-08-07,111.69
2018-08-06,111.87
2018-08-03,112.27
2018-08-02,112.6
2018-08-01,112.93
2018-07-31,112.09
2018-07-30,112.05
2018-07-27,112.68
2018-07-26,112.92
2018-07-25,112.91
2018-07-24,112.8
2018-07-23,112.4
2018-07-20,112.64
2018-07-19,112.02
2018-07-18,111.72
2018-07-17,111.44
2018-07-13,111.34
2018-07-12,111.34
2018-07-11,111.62
2018-07-10,111.9
2018-07-09,112.36
2018-07-06,111.7
2018-07-05,111.81
2018-07-04,111.7
2018-07-03,111.96
2018-07-02,111.73
2018-06-29,111.03
2018-06-28,110.85
2018-06-27,110.58
2018-06-26,110.88
2018-06-25,110.79
2018-06-22,110.9
2018-06-21,111.93
2018-06-20,111.93
2018-06-19,111.8
2018-06-18,111.14
2018-06-15,112.01
2018-06-14,111.75
2018-06-13,111.58
2018-06-12,111.19
2018-06-11,110.89
2018-06-08,110.84
2018-06-07,110.4
2018-06-06,110.94
2018-06-05,111
2018-06-04,111.03
2018-06-01,110.53
2018-05-31,110.4
2018-05-30,110.44
2018-05-29,110.29
2018-05-28,111.68
2018-05-25,111.37
2018-05-24,111.12
2018-05-23,110.81
2018-05-22,110.26
2018-05-21,110.25
2018-05-18,109.41
2018-05-17,109.11
2018-05-16,109.34
2018-05-15,108.99
2018-05-14,108.69
2018-05-11,108.96
2018-05-10,110.23
2018-05-09,110.02
2018-05-08,109.31
2018-05-07,109.94
2018-05-02,109.73
2018-05-01,110.32
2018-04-27,110.68
2018-04-26,110.91
2018-04-25,110.81
2018-04-24,111.56
2018-04-23,111.64
2018-04-20,111.54
2018-04-19,111.96
2018-04-18,111.67
2018-04-17,111.4
2018-04-16,111.41
2018-04-13,111.25
2018-04-12,111.18
2018-04-11,110.83
2018-04-10,111.36
2018-04-09,110.54
2018-04-06,111.26
2018-04-05,111.11
2018-04-04,111.17
2018-04-03,110.51
2018-04-02,111.64
2018-03-30,110.95
2018-03-29,111.55
2018-03-28,111.63
2018-03-27,111.12
2018-03-26,111.74
2018-03-23,112.32
2018-03-22,113.03
2018-03-20,112.35
2018-03-19,112.07
2018-03-16,112.45
2018-03-15,112.65
2018-03-14,113.14
2018-03-13,112.74
2018-03-12,112.84
2018-03-09,111.22
2018-03-08,111.63
2018-03-07,111.39
2018-03-06,111.75
2018-03-05,110.85
2018-03-02,112.54
2018-03-01,112.9
2018-02-28,114.91
2018-02-27,114.94
2018-02-26,114.62
2018-02-23,115.23
2018-02-22,115.02
2018-02-21,115.32
2018-02-20,115.78
2018-02-19,116.03
2018-02-16,117.02
2018-02-15,116.94
2018-02-14,118.03
2018-02-13,118.16
2018-02-09,114.33
2018-02-08,114.02
2018-02-07,114.33
2018-02-06,114.63
2018-02-05,114.5
2018-02-02,116.26
2018-02-01,117.21
2018-01-31,116.6
2018-01-30,115.76
2018-01-29,115.13
2018-01-26,115.44
2018-01-25,115.17
2018-01-24,115.8
2018-01-23,115.33
2018-01-22,115.24
2018-01-19,115.11
2018-01-18,114.6
2018-01-17,114.13
2018-01-16,113.99
2018-01-15,114.3
2018-01-12,115.7
2018-01-11,115.8
2018-01-10,115.33
2018-01-09,116.53
2018-01-05,116.26
2018-01-04,116.37
