Date,Open,High,Low,Close,Volume
2018-08-09,23060,23110,22970,23090,105585
2018-08-08,23120,23270,23080,23140,144597
2018-08-07,23030,23130,23000,23120,107400
2018-08-06,23010,23100,22960,22990,86172
2018-08-03,23080,23100,22970,22990,152571
2018-08-02,23140,23230,22930,22970,239299
2018-07-31,22930,23170,22820,23040,259912
2018-07-30,23070,23100,22980,23010,115268
2018-07-27,23110,23170,23060,23170,100846
2018-07-26,23110,23110,23010,23040,121069
2018-07-25,23080,23120,23010,23060,135516
2018-07-24,23010,23030,22880,22990,112080
2018-07-23,22940,22980,22810,22860,203782
2018-07-20,23200,23350,23010,23180,245330
2018-07-19,23360,23390,23230,23240,240922
2018-07-18,23380,23430,23260,23260,262895
2018-07-17,23080,23320,23060,23180,247056
2018-07-13,22910,23160,22900,23080,421205
2018-07-12,22490,22700,22490,22670,117819
2018-07-11,22490,22510,22210,22390,255746
2018-07-10,22690,22790,22660,22690,264340
2018-07-09,22350,22560,22320,22500,143378
2018-07-06,22130,22330,22090,22270,278391
2018-07-05,22160,22220,21920,22020,307927
2018-07-04,22160,22250,22070,22200,561608
2018-07-03,22730,22770,22380,22620,842752
2018-07-02,23060,23140,22610,22610,590903
2018-06-29,23150,23150,22970,23110,104995
2018-06-28,23040,23120,22870,23080,307174
2018-06-27,23160,23190,23030,23070,161255
2018-06-26,22990,23180,22910,23150,234420
2018-06-25,23380,23380,23120,23160,173982
2018-06-22,23250,23340,23200,23330,227251
2018-06-21,23330,23600,23290,23500,327871
2018-06-20,23140,23400,22970,23380,283791
2018-06-19,23390,23430,23080,23100,333104
2018-06-18,23620,23630,23420,23490,129579
2018-06-15,23700,23710,23590,23660,145676
2018-06-14,23670,23720,23570,23570,167099
2018-06-13,23730,23810,23700,23780,152091
2018-06-12,23800,23830,23600,23720,317060
2018-06-11,23500,23660,23480,23630,177007
2018-06-08,23610,23690,23510,23510,464839
2018-06-07,23590,23670,23560,23650,231649
2018-06-06,23340,23470,23310,23440,139311
2018-06-05,23350,23400,23270,23350,181239
2018-06-04,23170,23320,23160,23290,141843
2018-06-01,22940,23130,22900,22950,165760
2018-05-31,22990,23050,22890,23000,137049
2018-05-30,22800,22870,22720,22810,415452
