Date,Open,High,Low,Close,Volume
2018-08-09,23030,23080,22940,23060,12344
2018-08-08,23100,23230,23050,23100,31315
2018-08-07,22990,23110,22980,23090,12458
2018-08-06,22980,23060,22930,22940,15711
2018-08-03,23040,23050,22930,22960,14629
2018-08-02,23120,23190,22890,22940,53974
2018-07-31,22900,23120,22800,23000,42119
2018-07-30,23050,23050,22950,22980,31551
2018-07-27,23090,23130,23030,23130,17730
2018-07-26,23080,23080,22970,23020,29068
2018-07-25,23030,23080,22980,23030,30177
2018-07-24,23000,23000,22860,22940,27707
2018-07-23,22910,22930,22770,22810,40475
2018-07-20,23160,23310,22970,23120,132106
2018-07-19,23320,23360,23200,23220,67411
2018-07-18,23340,23390,23250,23250,56477
2018-07-17,23030,23280,23030,23150,69287
2018-07-13,22890,23130,22870,23030,220389
2018-07-12,22460,22670,22460,22620,24231
2018-07-11,22450,22470,22180,22360,46069
2018-07-10,22650,22750,22620,22650,52684
2018-07-09,22310,22540,22290,22470,76888
2018-07-06,22110,22290,22070,22230,61918
2018-07-05,22500,22560,22280,22360,135291
2018-07-04,22470,22590,22410,22530,64387
2018-07-03,22710,22740,22370,22600,109428
2018-07-02,23060,23130,22610,22630,155883
2018-06-29,23160,23160,22960,23110,32662
2018-06-28,23030,23120,22860,23090,41189
2018-06-27,23150,23190,23030,23080,51627
2018-06-26,22970,23180,22900,23170,60906
2018-06-25,23360,23370,23120,23150,39247
2018-06-22,23250,23340,23230,23330,31384
2018-06-21,23320,23590,23300,23500,71774
2018-06-20,23140,23380,22960,23350,57145
2018-06-19,23370,23420,23080,23090,61844
2018-06-18,23630,23630,23410,23490,30291
2018-06-15,23700,23710,23600,23670,29143
2018-06-14,23670,23710,23560,23560,26893
2018-06-13,23700,23810,23700,23780,76660
2018-06-12,23800,23820,23610,23710,106569
2018-06-11,23500,23660,23480,23630,22359
2018-06-08,23610,23690,23500,23500,26793
2018-06-07,23580,23670,23560,23640,28382
2018-06-06,23330,23460,23310,23440,24828
2018-06-05,23370,23400,23270,23340,12019
2018-06-04,23180,23320,23160,23280,26474
2018-06-01,22930,23120,22900,22950,37714
2018-05-31,22980,23050,22890,23000,19241
2018-05-30,22810,22870,22720,22810,69953
2018-05-29,23240,23240,23040,23150,68287
2018-05-28,23280,23360,23210,23270,44156
2018-05-25,23160,23320,23120,23270,80559
2018-05-24,23440,23450,23170,23250,107659
2018-05-23,23670,23760,23470,23510,89893
2018-05-22,23850,23850,23770,23780,53669
2018-05-21,23740,23870,23740,23820,131778
2018-05-18,23730,23770,23680,23730,95774
2018-05-17,23630,23700,23610,23660,43839
2018-05-16,23530,23600,23510,23530,68863
2018-05-15,23710,23730,23610,23620,34696
2018-05-14,23580,23710,23550,23700,42580
2018-05-11,23370,23590,23370,23590,63408
2018-05-10,23290,23330,23210,23310,33151
2018-05-09,23260,23280,23170,23210,15860
2018-05-08,23230,23370,23220,23310,26431
2018-05-07,23320,23320,23140,23280,36226
2018-05-02,23360,23360,23230,23260,16673
2018-05-01,23270,23330,23220,23320,22542
2018-04-27,23180,23300,23150,23260,104675
2018-04-26,23110,23180,23080,23110,27966
2018-04-25,22890,23030,22870,23020,31469
2018-04-24,23040,23090,22940,23080,31382
