Date,Open,High,Low,Close,Volume
2018-08-09,23130,23190,23060,23150,50750
2018-08-08,23210,23350,23160,23210,121750
2018-08-07,23110,23220,23100,23220,31570
2018-08-06,23110,23180,23040,23050,32410
2018-08-03,23170,23170,23050,23070,47860
2018-08-02,23220,23310,23020,23050,79030
2018-07-31,23040,23240,22900,23120,70360
2018-07-30,23170,23180,23060,23090,32470
2018-07-27,23200,23260,23150,23260,41960
2018-07-26,23190,23200,23090,23130,36040
2018-07-25,23170,23200,23090,23150,60340
2018-07-24,23090,23110,22970,23050,42610
2018-07-23,23020,23060,22890,22940,75560
2018-07-20,23290,23420,23090,23240,140880
2018-07-19,23450,23480,23310,23320,89510
2018-07-18,23480,23500,23360,23360,127680
2018-07-17,23160,23390,23130,23260,124880
2018-07-13,23010,23250,22990,23150,156970
2018-07-12,22590,22780,22570,22740,46480
2018-07-11,22570,22580,22290,22460,84080
2018-07-10,22770,22860,22740,22750,59920
2018-07-09,22420,22640,22410,22570,69870
2018-07-06,22220,22400,22180,22330,55430
2018-07-05,22250,22280,21990,22080,108040
2018-07-04,22210,22330,22140,22250,79960
2018-07-03,22790,22820,22460,22650,158210
2018-07-02,23140,23220,22680,22720,125060
2018-06-29,23240,23240,23050,23190,43730
2018-06-28,23130,23200,22940,23170,60090
2018-06-27,23250,23260,23120,23160,63440
2018-06-26,23060,23250,22990,23230,87980
2018-06-25,23460,23460,23190,23220,62420
2018-06-22,23340,23420,23310,23410,55100
2018-06-21,23420,23670,23370,23590,49040
2018-06-20,23240,23470,23050,23450,92130
2018-06-19,23470,23500,23160,23160,105410
2018-06-18,23710,23710,23500,23570,78470
2018-06-15,23800,23800,23680,23750,50290
2018-06-14,23750,23800,23640,23650,62450
2018-06-13,23800,23890,23800,23890,41930
2018-06-12,23890,23910,23700,23800,87900
2018-06-11,23590,23740,23560,23720,159760
2018-06-08,23730,23770,23580,23580,67300
2018-06-07,23670,23750,23640,23720,70380
2018-06-06,23430,23550,23390,23520,38280
2018-06-05,23460,23490,23360,23420,56210
2018-06-04,23250,23410,23250,23360,45720
2018-06-01,23020,23200,22980,23030,73210
2018-05-31,23050,23120,22970,23100,79690
2018-05-30,22870,22950,22790,22880,146210
2018-05-29,23300,23320,23110,23220,77580
2018-05-28,23380,23430,23290,23350,79280
2018-05-25,23250,23400,23200,23340,92030
2018-05-24,23520,23530,23260,23320,102590
2018-05-23,23780,23850,23550,23580,99040
2018-05-22,23930,23930,23860,23870,47760
2018-05-21,23850,23960,23840,23920,70340
2018-05-18,23830,23850,23780,23820,52140
2018-05-17,23710,23790,23700,23740,76770
2018-05-16,23630,23690,23600,23630,87080
2018-05-15,23790,23810,23700,23710,49600
2018-05-14,23650,23790,23640,23780,47330
2018-05-11,23440,23670,23440,23660,110680
2018-05-10,23370,23410,23300,23370,34650
2018-05-09,23330,23370,23250,23290,28110
2018-05-08,23320,23450,23300,23400,32600
2018-05-07,23400,23400,23220,23340,49170
2018-05-02,23460,23460,23310,23360,410580
2018-05-01,23350,23410,23310,23400,24310
2018-04-27,23280,23380,23240,23350,67420
2018-04-26,23210,23260,23160,23210,76790
2018-04-25,23000,23100,22950,23090,41510
2018-04-24,23120,23170,23030,23170,40070
2018-04-23,23050,23070,22940,22970,32050
2018-04-20,23030,23140,22940,23030,41670
2018-04-19,23100,23230,23050,23060,79970
2018-04-18,22790,23060,22780,23030,138390
2018-04-17,22670,22750,22630,22720,31650
2018-04-16,22690,22740,22630,22700,34950
2018-04-13,22690,22770,22610,22640,79750
2018-04-12,22540,22570,22450,22480,32310
2018-04-11,22720,22720,22550,22560,35800
2018-04-10,22430,22790,22390,22670,67170
2018-04-09,22380,22590,22370,22550,41560
2018-04-06,22490,22610,22410,22440,99360
2018-04-05,22390,22590,22300,22520,91390
2018-04-04,22280,22280,22080,22150,78480
2018-04-03,21920,22160,21870,22110,58450
2018-04-02,22280,22440,22240,22240,91850
2018-03-30,22230,22360,22140,22310,205410
2018-03-29,22120,22130,21820,21990,97380
2018-03-28,21660,21860,21590,21860,209620
2018-03-27,21660,21970,21610,21950,137360
2018-03-26,21060,21410,20990,21410,157950
2018-03-23,21570,21670,21210,21250,318690
2018-03-22,22050,22260,22040,22260,65500
2018-03-20,21980,22060,21900,22060,100970
2018-03-19,22220,22350,22040,22150,83820
2018-03-16,22550,22550,22320,22380,55990
2018-03-15,22400,22520,22240,22510,91440
2018-03-14,22450,22570,22370,22460,87580
2018-03-13,22420,22660,22390,22640,98100
2018-03-12,22630,22670,22380,22540,135590
2018-03-09,22250,22570,22030,22130,188620
2018-03-08,22170,22180,21970,22030,87890
