Date,Open,High,Low,Close,Volume
2018-08-09,23130,23200,23070,23160,2557
2018-08-08,23210,23360,23180,23200,12982
2018-08-07,23140,23210,23100,23210,3845
2018-08-06,23300,23370,23240,23260,10168
2018-08-03,23330,23360,23240,23260,18018
2018-08-02,23430,23500,23210,23240,16411
2018-07-31,23210,23430,23100,23310,12173
2018-07-30,23340,23370,23260,23280,6441
2018-07-27,23410,23440,23340,23430,7764
2018-07-26,23380,23380,23300,23320,6400
2018-07-25,23360,23390,23300,23340,7904
2018-07-24,23300,23300,23150,23260,11646
2018-07-23,23210,23230,23080,23110,17308
2018-07-20,23490,23610,23290,23450,32505
2018-07-19,23650,23660,23510,23510,9851
2018-07-18,23680,23690,23560,23620,19208
2018-07-17,23350,23580,23330,23460,8135
2018-07-13,23160,23440,23160,23350,20149
2018-07-12,22750,22970,22750,22920,3868
2018-07-11,22730,22760,22480,22670,46790
2018-07-10,22950,23050,22930,23010,22933
2018-07-09,22600,22830,22600,22770,5860
2018-07-06,22390,22580,22360,22580,7546
2018-07-05,22410,22460,22180,22290,14546
2018-07-04,22360,22480,22320,22440,5336
2018-07-03,22600,22640,22280,22520,24801
2018-07-02,22940,23020,22500,22540,32886
2018-06-29,23070,23070,22890,23050,3488
2018-06-28,22950,23020,22770,23000,8806
2018-06-27,23060,23090,22950,22980,10087
2018-06-26,22880,23080,22810,23050,25791
2018-06-25,23280,23280,23030,23060,3051
2018-06-22,23140,23250,23130,23250,6832
2018-06-21,23250,23500,23210,23410,8427
2018-06-20,23070,23290,22880,23280,28614
2018-06-19,23290,23320,22990,23000,8185
2018-06-18,23520,23520,23330,23410,2306
2018-06-15,23600,23610,23500,23570,447
2018-06-14,23560,23620,23470,23470,2273
2018-06-13,23630,23720,23620,23680,675
2018-06-12,23700,23730,23530,23600,4260
2018-06-11,23400,23570,23390,23530,23260
2018-06-08,23550,23590,23410,23420,1379
2018-06-07,23490,23570,23490,23560,4933
2018-06-06,23240,23370,23220,23350,1538
2018-06-05,23270,23310,23190,23240,4051
2018-06-04,23070,23220,23070,23180,2640
2018-06-01,22820,23000,22820,22860,6533
2018-05-31,22900,22940,22810,22910,1898
2018-05-30,22690,22750,22630,22730,27403
2018-05-29,23140,23140,22940,23060,5999
2018-05-28,23190,23260,23120,23200,10167
2018-05-25,23080,23220,23030,23170,6455
2018-05-24,23330,23350,23090,23150,15546
2018-05-23,23590,23660,23380,23440,5788
2018-05-22,23750,23750,23690,23700,2342
2018-05-21,23650,23780,23650,23740,2568
2018-05-18,23630,23670,23600,23650,4374
2018-05-17,23540,23600,23530,23560,1315
2018-05-16,23450,23490,23430,23460,2024
2018-05-15,23620,23630,23540,23550,47166
2018-05-14,23470,23610,23470,23590,3356
2018-05-11,23300,23490,23300,23490,2836
2018-05-10,23220,23220,23140,23200,2766
2018-05-09,23170,23180,23060,23130,2450
2018-05-08,23120,23270,23120,23230,5790
2018-05-07,23230,23230,23060,23190,3352
2018-05-02,23290,23290,23150,23190,2926
2018-05-01,23180,23240,23140,23220,1776
2018-04-27,23110,23200,23070,23190,8096
2018-04-26,23020,23080,22990,23040,6102
2018-04-25,22800,22940,22780,22920,4366
2018-04-24,22940,23000,22880,22980,2455
2018-04-23,22870,22900,22770,22790,2516
2018-04-20,22860,22950,22790,22860,2221
2018-04-19,22920,23060,22900,22910,7117
2018-04-18,22600,22890,22600,22850,3517
2018-04-17,22500,22580,22470,22550,545
2018-04-16,22550,22580,22470,22550,6835
2018-04-13,22520,22600,22440,22460,1884
2018-04-12,22350,22360,22280,22340,983
2018-04-11,22550,22550,22350,22350,22190
2018-04-10,22260,22630,22230,22480,6797
2018-04-09,22200,22410,22200,22360,4043
2018-04-06,22350,22430,22240,22240,8198
2018-04-05,22240,22420,22150,22350,10139
2018-04-04,22100,22100,21920,21990,2997
2018-04-03,21780,21990,21730,21940,4515
2018-04-02,22120,22270,22080,22080,6198
2018-03-30,22070,22190,22000,22100,66474
2018-03-29,21950,21960,21670,21810,9157
2018-03-28,21590,21680,21450,21680,16004
2018-03-27,21480,21810,21460,21810,8967
2018-03-26,21000,21240,20820,21240,11014
2018-03-23,21390,21490,21040,21090,20465
2018-03-22,21890,22110,21890,22110,34299
2018-03-20,21790,21890,21740,21890,10611
2018-03-19,22060,22160,21880,21980,4842
2018-03-16,22380,22390,22150,22210,4159
2018-03-15,22210,22350,22070,22340,11684
2018-03-14,22280,22400,22200,22290,1669
2018-03-13,22270,22510,22230,22510,8456
2018-03-12,22480,22500,22210,22360,17976
2018-03-09,22110,22410,21920,21990,17475
2018-03-08,22020,22020,21800,21870,6814
2018-03-07,21770,22000,21710,21750,8975
2018-03-06,21950,22070,21920,21940,6257
2018-03-05,21550,21660,21440,21540,8522
2018-03-02,21750,21780,21600,21700,79930
2018-03-01,22430,22440,22170,22250,9152
2018-02-28,22820,22910,22610,22610,7217
2018-02-27,22930,23040,22870,22920,5369
2018-02-26,22700,22770,22580,22700,10127
2018-02-23,22310,22400,22250,22400,7778
2018-02-22,22300,22310,22130,22230,12788
2018-02-21,22480,22660,22340,22490,11595
2018-02-20,22560,22570,22350,22420,5503
2018-02-19,22420,22670,22370,22650,7540
2018-02-16,22060,22380,22020,22240,11258
2018-02-15,21900,22080,21820,21960,10467
2018-02-14,21760,21880,21440,21660,13627
2018-02-13,22240,22240,21700,21740,17650
2018-02-09,21610,21910,21610,21890,34935
2018-02-08,22320,22500,22170,22410,11606
2018-02-07,22810,23550,22170,22170,30383
2018-02-06,22400,22520,21740,22300,78254
2018-02-05,23550,23570,23370,23400,22333
2018-02-02,24050,24070,23840,23990,14532
2018-02-01,24010,24220,23970,24210,9327
2018-01-31,23920,24090,23820,23820,9180
2018-01-30,24300,24310,23960,24000,15914
2018-01-29,24460,24510,24320,24340,23988
2018-01-26,24490,24520,24330,24350,4306
2018-01-25,24500,24560,24380,24410,8686
2018-01-24,24760,24800,24660,24710,16362
2018-01-23,24680,24870,24660,24870,4342
2018-01-22,24520,24540,24440,24520,2778
2018-01-19,24590,24600,24480,24550,8114
2018-01-18,24880,24880,24440,24500,27824
2018-01-17,24540,24630,24480,24610,6368
2018-01-16,24460,24700,24440,24690,49878
2018-01-15,24560,24560,24420,24450,1230
2018-01-12,24490,24490,24310,24370,23404
2018-01-11,24380,24470,24360,24420,8708
2018-01-10,24550,24590,24480,24490,4451
2018-01-09,24730,24730,24530,24570,13015
2018-01-05,24390,24460,24260,24460,8015
2018-01-04,23830,24240,23830,24240,17155
