Date,Open,High,Low,Close,Volume
2018-08-09,1539,1551,1511,1526,7663
2018-08-08,1544,1551,1536,1540,15504
2018-08-07,1544,1570,1542,1565,3614
2018-08-06,1589,1604,1542,1545,20700
2018-08-03,1615,1635,1583,1583,7556
2018-08-02,1579,1646,1570,1616,12751
2018-07-31,1715,1734,1658,1659,13555
2018-07-30,1765,1765,1702,1712,6760
2018-07-27,1685,1694,1680,1685,3487
2018-07-26,1660,1705,1660,1685,4024
2018-07-25,1725,1730,1693,1693,5551
2018-07-24,1775,1775,1725,1730,9192
2018-07-23,1793,1793,1728,1778,12946
2018-07-20,1693,1753,1671,1710,9059
2018-07-19,1668,1701,1662,1691,4947
2018-07-18,1662,1669,1652,1669,4047
2018-07-17,1715,1760,1663,1688,17389
2018-07-13,1731,1759,1715,1720,10260
2018-07-12,1780,1792,1751,1759,5024
2018-07-11,1804,1899,1804,1814,13235
2018-07-10,1811,1832,1789,1803,9289
2018-07-09,1931,1937,1824,1832,16173
2018-07-06,2063,2063,1918,1931,17317
2018-07-05,2076,2090,2058,2090,10013
2018-07-04,2099,2099,2050,2051,9866
2018-07-03,2030,2097,2007,2066,20006
2018-07-02,1961,2110,1932,2092,18404
2018-06-29,1913,1943,1913,1933,5715
2018-06-28,1870,1948,1869,1942,13376
2018-06-27,1750,1907,1741,1896,18297
2018-06-26,1922,1930,1819,1827,17196
2018-06-25,1824,1845,1793,1843,7428
2018-06-22,1822,1859,1793,1802,9528
2018-06-21,1809,1809,1710,1766,3858
2018-06-20,1750,1892,1734,1805,30519
2018-06-19,1704,1775,1675,1774,16963
2018-06-18,1642,1697,1639,1674,11845
2018-06-15,1650,1650,1626,1646,5244
2018-06-14,1668,1682,1652,1658,9161
2018-06-13,1699,1707,1663,1667,11995
2018-06-12,1700,1711,1699,1703,27415
2018-06-11,1747,1758,1722,1724,6768
2018-06-08,1745,1745,1700,1744,11159
2018-06-07,1725,1731,1715,1716,10707
2018-06-06,1769,1777,1756,1765,3334
2018-06-05,1754,1800,1752,1763,3543
2018-06-04,1823,1829,1748,1788,9660
2018-06-01,1887,1905,1835,1880,8206
2018-05-31,1870,1916,1859,1870,3835
2018-05-30,1895,1938,1869,1932,22116
2018-05-29,1796,1805,1765,1791,10457
2018-05-28,1840,1849,1810,1836,2210
2018-05-25,1880,1895,1833,1855,5954
2018-05-24,1819,1887,1806,1859,10212
2018-05-23,1742,1827,1740,1817,8373
2018-05-22,1725,1741,1724,1729,4502
2018-05-21,1769,1779,1746,1751,5149
2018-05-18,1772,1776,1756,1768,2991
2018-05-17,1794,1797,1776,1776,13947
2018-05-16,1815,1857,1815,1830,7509
2018-05-15,1802,1808,1790,1790,8959
2018-05-14,1842,1864,1802,1807,5433
2018-05-11,1830,1880,1828,1842,17786
2018-05-10,1984,1984,1915,1920,15656
2018-05-09,2008,2008,1976,1977,14776
2018-05-08,2023,2050,2012,2013,4785
2018-05-07,2102,2102,2031,2033,23433
2018-05-02,2133,2139,2089,2095,20340
2018-05-01,2234,2235,2200,2200,11833
2018-04-27,2275,2275,2207,2216,4618
2018-04-26,2220,2251,2210,2251,4152
2018-04-25,2259,2297,2214,2214,9291
2018-04-24,2257,2260,2206,2206,11136
2018-04-23,2287,2287,2260,2265,10672
2018-04-20,2280,2330,2280,2306,3490
2018-04-19,2365,2430,2287,2287,19412
2018-04-18,2350,2475,2350,2370,6263
2018-04-17,2513,2517,2401,2409,12222
2018-04-16,2605,2648,2501,2520,8911
2018-04-13,2737,2737,2603,2603,19761
2018-04-12,2751,2759,2721,2737,3099
2018-04-11,2815,2815,2733,2747,9560
2018-04-10,2824,2873,2800,2816,6523
2018-04-09,2883,2904,2809,2814,7388
2018-04-06,2816,2883,2816,2851,2852
2018-04-05,2885,2905,2815,2817,2667
2018-04-04,2864,2925,2862,2884,8173
2018-04-03,2907,2925,2888,2899,5218
2018-04-02,2839,2856,2800,2812,2402
2018-03-30,2860,2898,2841,2841,4115
2018-03-29,2896,2953,2836,2900,5642
2018-03-28,2894,2948,2857,2896,7723
2018-03-27,2851,2887,2829,2857,5796
2018-03-26,2950,3015,2935,2941,44615
2018-03-23,2875,2878,2786,2805,16665
2018-03-22,2652,2705,2623,2650,3339
2018-03-20,2706,2784,2653,2653,7276
2018-03-19,2621,2670,2600,2660,3728
2018-03-16,2604,2645,2580,2615,4371
2018-03-15,2698,2713,2620,2621,15383
2018-03-14,2794,2796,2680,2701,20702
2018-03-13,2849,2855,2741,2800,3971
2018-03-12,2702,2840,2700,2761,8441
2018-03-09,2807,2862,2780,2839,7663
2018-03-08,2811,2890,2811,2841,6951
2018-03-07,2844,2950,2837,2899,18593
2018-03-06,2680,2780,2665,2752,12005
2018-03-05,2800,2890,2781,2818,16446
2018-03-02,2800,2849,2726,2791,34588
2018-03-01,2499,2650,2481,2620,18064
2018-02-28,2476,2488,2446,2461,19940
2018-02-27,2473,2473,2431,2450,8932
2018-02-26,2454,2529,2450,2497,6557
2018-02-23,2599,2631,2536,2567,7753
2018-02-22,2578,2648,2578,2648,10115
2018-02-21,2562,2606,2464,2535,12207
2018-02-20,2586,2634,2447,2536,12005
2018-02-19,2656,2698,2534,2579,12380
2018-02-16,2700,2843,2650,2750,10500
2018-02-15,2692,2800,2681,2702,25464
2018-02-14,3050,3150,2940,2969,29309
2018-02-13,2785,3110,2785,3110,22122
2018-02-09,2960,3135,2841,3035,54559
2018-02-08,2618,2696,2600,2633,19356
2018-02-07,2550,2768,2468,2718,63284
2018-02-06,2700,2868,2700,2868,55280
2018-02-05,2420,2426,2353,2368,15258
2018-02-02,2268,2329,2268,2269,3960
2018-02-01,2277,2302,2261,2267,3054
2018-01-31,2398,2398,2265,2322,8277
2018-01-30,2296,2389,2280,2362,14161
2018-01-29,2285,2317,2255,2299,2943
2018-01-26,2285,2290,2256,2288,3078
2018-01-25,2314,2314,2270,2288,3478
2018-01-24,2278,2278,2260,2271,2754
2018-01-23,2286,2286,2260,2262,3366
2018-01-22,2260,2339,2259,2286,3185
2018-01-19,2270,2271,2255,2264,1756
2018-01-18,2282,2290,2257,2273,7984
2018-01-17,2315,2329,2280,2290,6829
2018-01-16,2224,2434,2202,2284,16768
2018-01-15,2272,2300,2251,2258,3417
2018-01-12,2351,2360,2278,2293,8795
2018-01-11,2383,2399,2356,2364,6536
2018-01-10,2368,2393,2368,2374,2853
2018-01-09,2392,2392,2360,2372,5134
2018-01-05,2431,2432,2427,2428,7305
2018-01-04,2490,2494,2447,2494,5148
