Date,Open,High,Low,Close,Volume
2018-05-25,4260,4296,4234,4293,1989000
2018-05-24,4216,4238,4201,4213,1563700
2018-05-23,4165,4204,4157,4197,1852900
2018-05-22,4124,4156,4106,4144,1094100
2018-05-21,4141,4149,4114,4133,914400
2018-05-18,4091,4119,4074,4114,798900
2018-05-17,4109,4114,4052,4072,955100
2018-05-16,4067,4100,4059,4087,1288000
2018-05-15,4046,4077,4045,4058,1352500
2018-05-14,4011,4042,4010,4032,937300
2018-05-11,3980,4023,3968,4007,1655500
2018-05-10,4014,4016,3962,3985,2291000
2018-05-09,4126,4158,4054,4058,1881700
2018-05-08,4135,4150,4094,4130,1898200
2018-05-07,4144,4145,4110,4134,1103600
2018-05-02,4215,4219,4153,4153,1355300
2018-05-01,4253,4262,4209,4235,1244600
2018-04-27,4320,4326,4253,4310,1479300
2018-04-26,4339,4339,4295,4309,897400
2018-04-25,4310,4342,4301,4311,1163100
2018-04-24,4264,4330,4259,4330,1160400
2018-04-23,4235,4257,4225,4246,593400
2018-04-20,4203,4233,4197,4222,959900
2018-04-19,4242,4243,4185,4190,1271600
2018-04-18,4239,4258,4218,4230,1180000
2018-04-17,4220,4252,4210,4240,976900
2018-04-16,4228,4244,4210,4232,1112700
2018-04-13,4232,4254,4211,4228,1832700
2018-04-12,4253,4263,4207,4217,1732600
2018-04-11,4262,4289,4236,4270,2223600
2018-04-10,4266,4337,4265,4312,1799000
2018-04-09,4304,4353,4301,4336,1337300
2018-04-06,4352,4368,4306,4312,1523600
2018-04-05,4379,4414,4372,4387,1504400
2018-04-04,4337,4366,4303,4357,1354200
2018-04-03,4293,4347,4250,4339,1222100
2018-04-02,4288,4332,4288,4307,962700
2018-03-30,4283,4289,4243,4282,986600
2018-03-29,4293,4346,4256,4289,1885600
2018-03-28,4178,4269,4131,4266,2525600
2018-03-27,4204,4278,4203,4256,3841200
2018-03-26,4200,4204,4161,4204,2229300
2018-03-23,4254,4288,4221,4227,2037900
2018-03-22,4321,4353,4238,4317,2408900
2018-03-20,4335,4409,4316,4391,1587900
2018-03-19,4351,4366,4331,4345,1300900
2018-03-16,4315,4349,4307,4340,1459500
2018-03-15,4279,4332,4261,4321,1603500
2018-03-14,4287,4308,4263,4295,1270300
2018-03-13,4237,4320,4234,4298,1211000
2018-03-12,4234,4260,4228,4243,759600
2018-03-09,4251,4261,4194,4203,1391200
2018-03-08,4252,4258,4203,4222,1118200
2018-03-07,4278,4301,4204,4215,2004900
2018-03-06,4276,4280,4172,4182,1289000
2018-03-05,4173,4220,4170,4216,1203500
2018-03-02,4230,4253,4189,4198,2470100
2018-03-01,4170,4275,4150,4267,3659100
2018-02-28,4117,4126,4086,4089,1531600
2018-02-27,4116,4130,4078,4091,1583000
2018-02-26,4085,4100,4056,4057,957200
2018-02-23,4012,4059,4010,4056,972200
2018-02-22,4012,4039,3990,4010,1570000
2018-02-21,4022,4035,3986,4031,1047700
2018-02-20,4038,4038,3999,4021,716200
2018-02-19,4027,4048,4000,4038,815600
2018-02-16,3946,3986,3930,3977,1260000
2018-02-15,3966,3969,3908,3924,2183400
2018-02-14,3880,3952,3880,3923,2199500
2018-02-13,4000,4005,3867,3872,2818600
2018-02-09,3933,3970,3915,3970,1641500
2018-02-08,3990,4029,3982,4009,2804400
