Date,Close
2018-08-09,81.32
2018-08-08,81.71
2018-08-07,81.34
2018-08-06,81.43
2018-08-03,81.72
2018-08-02,82.03
2018-08-01,82.15
2018-07-31,81.64
2018-07-30,81.45
2018-07-27,82.25
2018-07-26,82.58
2018-07-25,82.78
2018-07-24,82.56
2018-07-23,82.72
2018-07-20,82.21
2018-07-19,82.05
2018-07-18,81.44
2018-07-17,81.17
2018-07-13,80.93
2018-07-12,80.87
2018-07-11,81.01
2018-07-10,81.28
2018-07-09,81.56
2018-07-06,81.61
2018-07-05,81.48
2018-07-04,81.47
2018-07-03,81.53
2018-07-02,81.6
2018-06-29,81.08
2018-06-28,81.28
2018-06-27,81.08
2018-06-26,81.5
2018-06-25,81.74
2018-06-22,82.18
2018-06-21,82.61
2018-06-20,82.68
2018-06-19,82.53
2018-06-18,82.05
2018-06-15,82.38
2018-06-14,82.74
2018-06-13,82.33
2018-06-12,82.24
2018-06-11,81.98
2018-06-08,80.84
2018-06-07,80.43
2018-06-06,80.64
2018-06-05,80.49
2018-06-04,80.61
2018-06-01,81.42
2018-05-31,81.76
2018-05-30,81.76
2018-05-29,81.68
2018-05-28,82.76
2018-05-25,82.88
2018-05-24,82.67
2018-05-23,82.71
2018-05-22,82.32
2018-05-21,82.12
2018-05-18,82.01
2018-05-17,81.81
2018-05-16,81.57
2018-05-15,81.45
2018-05-14,81.63
2018-05-11,81.77
2018-05-10,82.39
2018-05-09,81.21
2018-05-08,80.58
2018-05-07,81.32
2018-05-02,82.2
2018-05-01,82.49
2018-04-27,81.9
2018-04-26,82.04
2018-04-25,81.75
2018-04-24,81.79
2018-04-23,81.96
2018-04-20,81.91
2018-04-19,81.78
2018-04-18,81.43
2018-04-17,81.32
2018-04-16,81.41
2018-04-13,81.4
2018-04-12,81.28
2018-04-11,80.67
2018-04-10,81.19
2018-04-09,82.32
2018-04-06,82.41
2018-04-05,82.33
2018-04-04,82.04
2018-04-03,81.91
2018-04-02,81.74
2018-03-30,79.78
2018-03-29,80.55
2018-03-28,80.68
2018-03-27,80.4
2018-03-26,80.82
2018-03-23,81.01
2018-03-22,81.35
2018-03-20,81.05
2018-03-19,80.96
2018-03-16,80.77
2018-03-15,80.15
2018-03-14,80.7
2018-03-13,80.08
2018-03-12,80.46
2018-03-09,81.01
2018-03-08,81.38
2018-03-07,80.56
2018-03-06,80.73
2018-03-05,79.95
2018-03-02,81.33
2018-03-01,80.47
2018-02-28,81.55
2018-02-27,81.32
2018-02-26,81.1
2018-02-23,81.22
2018-02-22,81.23
2018-02-21,81.66
2018-02-20,82.05
2018-02-19,82.59
2018-02-16,83.02
2018-02-15,82.51
2018-02-14,83.26
2018-02-13,83.61
2018-02-09,81.03
2018-02-08,81.22
2018-02-07,81.01
2018-02-06,81.15
2018-02-05,81.17
2018-02-02,81.78
2018-02-01,83.26
2018-01-31,83.83
2018-01-30,83.7
2018-01-29,83.76
2018-01-26,84.2
2018-01-25,83.9
2018-01-24,84.12
2018-01-23,83.9
2018-01-22,83.7
2018-01-19,83.79
2018-01-18,83.79
2018-01-17,83.76
2018-01-16,83.64
2018-01-15,84.16
2018-01-12,84.93
2018-01-11,85.05
2018-01-10,84.73
2018-01-09,83
2018-01-05,83.1
2018-01-04,83.17
