,Date,Close,index,Date_AUD,Close_AUD,diff_AUD,Date_BHD,Close_BHD,diff_BHD,Date_CAD,Close_CAD,diff_CAD,Date_CHF,Close_CHF,diff_CHF,Date_CNY,Close_CNY,diff_CNY,Date_DKK,Close_DKK,diff_DKK,Date_EUR,Close_EUR,diff_EUR,Date_GBP,Close_GBP,diff_GBP,Date_HKD,Close_HKD,diff_HKD,Date_INR,Close_INR,diff_INR,Date_NOK,Close_NOK,diff_NOK,Date_NZD,Close_NZD,diff_NZD,Date_PHP,Close_PHP,diff_PHP,Date_SEK,Close_SEK,diff_SEK,Date_SGD,Close_SGD,diff_SGD,Date_ZAR,Close_ZAR,diff_ZAR
0,2018-08-09,110.86,0,2018-08-09,82.34,-0.0050749154180763645,2018-08-09,293.82,-0.006357795062563398,2018-08-09,85.13,-0.002226910454758535,2018-08-09,111.56,-0.0033946757191352095,2018-08-09,16.23,-0.007339449541284515,2018-08-09,17.25,-0.00519031141868509,2018-08-09,128.62,-0.0049512610242919974,2018-08-09,142.69,-0.010677390279414722,2018-08-09,14.12,-0.005633802816901401,2018-08-09,1.62,-0.006134969325153228,2018-08-09,13.48,-0.008094186902133926,2018-08-09,74.0,-0.014122035704769553,2018-08-09,2.09,-0.009478672985781977,2018-08-09,12.38,-0.010391686650679355,2018-08-09,81.32,-0.00477297760372053,2018-08-09,8.28,-0.009569377990430672
1,2018-08-08,111.45,1,2018-08-08,82.76,0.006200607902735689,2018-08-08,295.7,0.0038020232194990733,2018-08-08,85.32,-0.003387454736596296,2018-08-08,111.94,0.002238338257677608,2018-08-08,16.35,0.008014796547472391,2018-08-08,17.34,0.004634994206257126,2018-08-08,129.26,0.004819651741293507,2018-08-08,144.23,0.0009716149628702375,2018-08-08,14.2,0.0014104372355430161,2018-08-08,1.63,0.006172839506172645,2018-08-08,13.59,0.006666666666666599,2018-08-08,75.06,0.0017349526224474943,2018-08-08,2.11,0.0,2018-08-08,12.51,0.004819277108433884,2018-08-08,81.71,0.004548807474797023,2018-08-08,8.36,0.009661835748792313
2,2018-08-07,111.32,2,2018-08-07,82.25,-0.00012156576708000078,2018-08-07,294.58,-0.0013898776229703813,2018-08-07,85.61,0.0007013442431327288,2018-08-07,111.69,-0.0016090104585680942,2018-08-07,16.22,-0.002460024600246191,2018-08-07,17.26,0.0,2018-08-07,128.64,7.77423618127937e-05,2018-08-07,144.09,-0.004009124213727677,2018-08-07,14.18,0.0,2018-08-07,1.62,0.0,2018-08-07,13.5,0.00222717149220486,2018-08-07,74.93,-0.0014658848614071962,2018-08-07,2.11,0.004761904761904745,2018-08-07,12.45,-0.0016038492381716951,2018-08-07,81.34,-0.0011052437676531968,2018-08-07,8.28,-0.007194244604316613
3,2018-08-06,111.27,3,2018-08-06,82.26,-0.0008502368516942749,2018-08-06,294.99,-0.0032437911809426456,2018-08-06,85.55,-0.0036105287677614673,2018-08-06,111.87,-0.0035628395831477366,2018-08-06,16.26,0.0,2018-08-06,17.26,-0.0069044879171460405,2018-08-06,128.63,-0.006718146718146745,2018-08-06,144.67,-0.006046032291308956,2018-08-06,14.18,-0.004213483146067398,2018-08-06,1.62,-0.006134969325153228,2018-08-06,13.47,-0.007369196757553431,2018-08-06,75.04,-0.003452855245683839,2018-08-06,2.1,0.0,2018-08-06,12.47,-0.007955449482895727,2018-08-06,81.43,-0.0035487028879098714,2018-08-06,8.34,0.004819277108433662
4,2018-08-03,111.81,4,2018-08-03,82.33,-0.00435360986818234,2018-08-03,295.95,0.0007100831811726049,2018-08-03,85.86,-0.001163331782224275,2018-08-03,112.27,-0.002930728241563041,2018-08-03,16.26,-0.006112469437652646,2018-08-03,17.38,-0.005720823798627039,2018-08-03,129.5,-0.005681818181818232,2018-08-03,145.55,-0.00709461764103958,2018-08-03,14.24,0.0007027406886859211,2018-08-03,1.63,-0.0060975609756097615,2018-08-03,13.57,-0.007315288953913646,2018-08-03,75.3,-0.007774410330741888,2018-08-03,2.1,-0.004739336492890933,2018-08-03,12.57,-0.009456264775413614,2018-08-03,81.72,-0.0037791052054126917,2018-08-03,8.3,-0.01891252955082745
5,2018-08-02,111.73,5,2018-08-02,82.69,-0.0039749457961936185,2018-08-02,295.74,-0.001249535645537092,2018-08-02,85.96,0.00011634671320526202,2018-08-02,112.6,-0.0029221641724963554,2018-08-02,16.36,-0.0024390243902439046,2018-08-02,17.48,-0.0039886039886040114,2018-08-02,130.24,-0.003976751300091674,2018-08-02,146.59,-0.0008860414394765703,2018-08-02,14.23,-0.00140350877192974,2018-08-02,1.64,0.0,2018-08-02,13.67,-0.0029175784099197966,2018-08-02,75.89,-0.0032834252692408583,2018-08-02,2.11,0.0,2018-08-02,12.69,-0.003142183817753441,2018-08-02,82.03,-0.0014607425441266475,2018-08-02,8.46,0.0011834319526629056
6,2018-08-01,111.87,6,2018-08-01,83.02,0.0033840947546530664,2018-08-01,296.11,0.005842589761880568,2018-08-01,85.95,0.014997638167217664,2018-08-01,112.93,0.007493978053350059,2018-08-01,16.4,0.003671970624234966,2018-08-01,17.55,0.004579278763594763,2018-08-01,130.76,0.004995772807624199,2018-08-01,146.72,0.0022542523396407166,2018-08-01,14.25,0.0042283298097252064,2018-08-01,1.64,0.012345679012345512,2018-08-01,13.71,0.0073475385745775945,2018-08-01,76.14,0.004618023485947864,2018-08-01,2.11,0.009569377990430672,2018-08-01,12.73,0.008716323296355188,2018-08-01,82.15,0.006246937775600259,2018-08-01,8.45,0.007151370679379987
7,2018-07-31,111.31,7,2018-07-31,82.74,0.008409506398537436,2018-07-31,294.39,0.00016987157708769907,2018-07-31,84.68,0.0026047833293867395,2018-07-31,112.09,0.00035698348951362924,2018-07-31,16.34,0.0036855036855036882,2018-07-31,17.47,0.0005727376861395239,2018-07-31,130.11,0.00038443795171461126,2018-07-31,146.39,0.004391080617495602,2018-07-31,14.19,0.000705218617771397,2018-07-31,1.62,0.0,2018-07-31,13.61,0.0029476787030213725,2018-07-31,75.79,0.004772636881877235,2018-07-31,2.09,0.004807692307692291,2018-07-31,12.62,0.005577689243027706,2018-07-31,81.64,0.0023327194597912992,2018-07-31,8.39,0.0157384987893463
8,2018-07-30,111.29,8,2018-07-30,82.05,-0.011088345185006676,2018-07-30,294.34,-0.011718094214820618,2018-07-30,84.46,-0.005416862929816357,2018-07-30,112.05,-0.005591054313099142,2018-07-30,16.28,-0.01927710843373498,2018-07-30,17.46,-0.008517887563884052,2018-07-30,130.06,-0.008689024390243771,2018-07-30,145.75,-0.005662436894528722,2018-07-30,14.18,-0.01115760111576014,2018-07-30,1.62,-0.006134969325153228,2018-07-30,13.57,-0.008040935672514626,2018-07-30,75.43,-0.007499999999999951,2018-07-30,2.08,-0.00952380952380949,2018-07-30,12.55,-0.007905138339920903,2018-07-30,81.45,-0.009726443768996895,2018-07-30,8.26,-0.008403361344537896
9,2018-07-27,112.61,9,2018-07-27,82.97,-0.006466291462100426,2018-07-27,297.83,-0.0013412466887973151,2018-07-27,84.92,-0.008291486628517974,2018-07-27,112.68,-0.002125398512221044,2018-07-27,16.6,-0.0077704722056185505,2018-07-27,17.61,-0.0011344299489506326,2018-07-27,131.2,-0.0010659357393026925,2018-07-27,146.58,-0.005630554236483176,2018-07-27,14.34,-0.0013927576601671099,2018-07-27,1.63,-0.012121212121212088,2018-07-27,13.68,-0.009413468501086264,2018-07-27,76.0,-0.008868022952530086,2018-07-27,2.1,-0.004739336492890933,2018-07-27,12.65,-0.007064364207221341,2018-07-27,82.25,-0.003996124969726345,2018-07-27,8.33,-0.020000000000000018
